date,max_temp,min_temp,rainfall_mm
2026-01-13,28.0,16.5,0
2026-01-14,32.5,17.6,0
2026-01-15,35.7,17.9,0
2026-01-16,32.4,21.5,0
2026-01-17,26.2,19.8,0
2026-01-18,26.7,14.7,0
2026-01-19,34.8,16.2,0
2026-01-20,39.2,19.3,0
2026-01-21,40.7,20.4,0
2026-01-22,32.9,22.3,0
2026-01-23,25.2,18.8,0
2026-01-24,27.0,16.3,0
2026-01-25,26.5,16.4,0
2026-01-26,23.6,17.2,1.2
2026-01-27,25.3,13.6,0.2
2026-01-28,30.3,16.0,0
2026-01-29,34.1,18.4,0
2026-01-30,34.7,18.7,0
2026-01-31,35.7,20.8,0
2026-02-01,37.7,19.3,0
2026-02-02,41.9,24.8,0
2026-02-03,30.3,20.9,0
2026-02-04,31.9,17.1,0
2026-02-05,33.5,16.1,0
2026-02-06,34.5,17.7,0
2026-02-07,35.5,18.4,0
2026-02-08,35.6,19.7,0
2026-02-09,32.4,22.1,0
2026-02-10,28.3,21.9,2.2
2026-02-11,29.9,18.3,0
2026-02-12,28.9,15.7,0
2026-02-13,31.3,16.0,0
2026-02-14,35.6,17.3,0
2026-02-15,25.9,19.8,0
2026-02-16,25.6,15.7,0
2026-02-17,27.1,14.7,0
2026-02-18,34.1,14.7,0
2026-02-19,38.5,16.9,0
2026-02-20,32.7,18.5,0
2026-02-21,26.0,17.3,0
2026-02-22,29.1,14.8,0
2026-02-23,30.7,15.2,0
2026-02-24,35.8,17.7,0
2026-02-25,38.9,22.2,0
2026-02-26,28.4,21.0,2.4
2026-02-27,34.9,17.8,1.2
2026-02-28,26.4,18.2,0
2026-03-01,26.3,11.8,0
2026-03-02,29.3,11.9,0
2026-03-03,33.4,16.0,0
2026-03-04,36.6,20.8,0
2026-03-05,36.7,20.6,0
2026-03-06,37.1,21.2,0
2026-03-07,40.3,21.1,0
2026-03-08,33.5,22.7,0
2026-03-09,30.6,21.7,0
2026-03-10,25.2,18.4,0
2026-03-11,25.9,14.1,0
2026-03-12,26.7,14.9,0
2026-03-13,26.7,17.7,0
2026-03-14,27.5,17.1,0
2026-03-15,30.2,17.6,0
2026-03-16,32.0,19.5,0
2026-03-17,34.8,19.0,0
2026-03-18,37.9,21.3,0
2026-03-19,38.1,18.8,0
2026-03-20,34.4,20.5,0
2026-03-21,31.0,18.0,0
2026-03-22,29.4,19.8,0
2026-03-23,25.4,18.7,0
2026-03-24,26.2,16.8,0
2026-03-25,27.6,17.4,0
2026-03-26,30.4,18.7,0
2026-03-27,19.5,19.1,3.2
2026-03-28,21.2,16.6,62.8
2026-03-29,24.9,17.4,5.6
2026-03-30,23.4,15.6,0.4
2026-03-31,23.3,16.2,0.6
2026-04-01,24.1,9.8,0
2026-04-02,28.4,15.4,0
2026-04-03,29.0,18.1,0
2026-04-04,28.0,17.0,0
2026-04-05,24.8,15.0,0
2026-04-06,18.6,15.8,0
2026-04-07,24.1,13.7,0
2026-04-08,22.4,9.8,0
2026-04-09,23.8,13.6,0
2026-04-10,26.1,14.1,0
2026-04-11,28.5,13.9,0
2026-04-12,31.3,12.9,0
2026-04-13,27.3,15.7,0
2026-04-14,30.3,16.9,0
2026-04-15,23.2,17.0,11.6
2026-04-16,27.5,13.1,1.0
2026-04-17,23.9,14.2,0
2026-04-18,21.9,13.7,8.0
2026-04-19,22.8,10.1,0
2026-04-20,23.2,9.6,0
2026-04-21,20.0,14.1,3.8
2026-04-22,24.0,7.2,0.2
2026-04-23,21.2,11.9,1.8
2026-04-24,20.9,11.1,1.6
2026-04-25,22.9,7.7,0.2
2026-04-26,26.3,7.5,0
2026-04-27,17.0,15.1,1.6
2026-04-28,20.6,13.2,8.0
2026-04-29,23.0,12.9,0
2026-04-30,21.4,12.0,0
2026-05-01,17.8,11.7,3.6
2026-05-02,18.1,5.0,0
2026-05-03,20.6,5.9,0
2026-05-04,22.8,7.2,0
2026-05-05,23.7,9.7,0
2026-05-06,23.2,10.2,0
2026-05-07,23.6,9.7,0
2026-05-08,23.7,11.7,0
2026-05-09,24.0,11.5,0
2026-05-10,25.1,6.8,0
2026-05-11,27.4,8.0,0
2026-05-12,28.3,6.8,0
2026-05-13,24.2,8.9,0
2026-05-14,19.8,12.7,0
2026-05-15,19.4,9.1,8.2
2026-05-16,19.7,10.7,0
2026-05-17,21.6,7.3,0
2026-05-18,20.9,9.7,0
2026-05-19,27.3,9.1,0
2026-05-20,26.0,8.2,0
2026-05-21,22.9,9.1,0
2026-05-22,19.2,6.7,0
2026-05-23,18.5,4.0,0
2026-05-24,20.9,2.5,0
2026-05-25,24.1,4.5,0
2026-05-26,24.8,9.6,0
2026-05-27,21.8,12.7,0
2026-05-28,20.8,14.5,19.2
2026-05-29,18.3,11.5,2.4
2026-05-30,20.7,9.1,0.2
2026-05-31,17.8,13.2,19.6
2026-06-01,19.5,12.8,13.8
2026-06-02,18.4,11.5,6.8
2026-06-03,19.9,7.1,0
2026-06-04,19.2,6.5,0
2026-06-05,21.1,6.6,0
2026-06-06,23.0,7.0,0
2026-06-07,22.6,8.5,0
2026-06-08,21.7,11.5,4.0
2026-06-09,16.3,13.0,12.0
2026-06-10,19.0,7.4,1.0
2026-06-11,15.8,11.2,1.2
2026-06-12,16.0,12.0,14.4
2026-06-13,19.1,4.2,1.6
2026-06-14,20.6,9.0,0.2
2026-06-15,15.4,10.0,12.6
2026-06-16,15.0,4.5,0
2026-06-17,17.7,3.4,0
2026-06-18,16.7,2.9,0
2026-06-19,18.0,3.1,0
2026-06-20,15.8,7.8,0
2026-06-21,18.5,10.8,0
2026-06-22,22.4,12.3,0
2026-06-23,22.6,6.8,0.6
2026-06-24,21.6,8.4,0.2
2026-06-25,22.1,7.8,0
2026-06-26,18.1,11.6,15.6
2026-06-27,19.0,11.9,15.0
2026-06-28,19.5,12.4,8.0
2026-06-29,17.7,12.1,7.4
2026-06-30,16.9,12.1,7.2
2026-07-01,18.0,9.0,6.2
2026-07-02,16.4,8.5,6.0
2026-07-03,16.4,11.1,0
2026-07-04,18.7,6.2,0
2026-07-05,20.4,10.0,0.2
2026-07-06,19.0,11.3,6.8
2026-07-07,21.7,8.9,0
2026-07-08,22.8,6.5,0.2
2026-07-09,22.8,6.2,0
2026-07-10,19.5,11.8,2.2
2026-07-11,17.1,5.4,0.2
2026-07-12,18.3,4.2,0
2026-07-13,19.0,4.2,0
2026-07-14,20.7,4.5,0.2
2026-07-15,25.7,7.8,0
2026-07-16,23.5,14.9,0
2026-07-17,20.5,15.1,14.8
2026-07-18,19.0,14.3,12.0
2026-07-19,19.1,9.1,0.8
2026-07-20,19.2,8.3,1.0
2026-07-21,17.9,6.8,0.2
2026-07-22,18.4,5.5,1.4
2026-07-23,18.4,5.0,0
2026-07-24,18.6,5.1,0
2026-07-25,21.3,3.6,0
2026-07-26,18.8,10.9,4.4
2026-07-27,18.0,8.6,0.2
2026-07-28,16.9,3.7,0
2026-07-29,19.4,5.7,0
2026-07-30,23.2,6.3,0
2026-07-31,22.9,6.2,0
